No|entity|annotation|index1|index2|sentence
174|SERVICE|disable|44|51|a smoke alarm that I can easily temporarily disable for an hour
179|SERVICE|manage|17|23|my smart home to manage temperature settings when people are home and away
181|SERVICE|alert|17|22|my smart home to alert me when my cat enters or leaves the house
183|SERVICE|sync|23|27|my music and videos to sync across devices all over the house
184|SERVICE|lock|12|16|my doors to lock automaticaly
185|SERVICE|close|18|23|curtains that can close automatically with a clap
186|SERVICE|notify|17|23|Sensors that can notify my smartphone if there are movments in the house
187|SERVICE|adjust|29|35|automatic shades/blinds that adjust throughout the day
188|SERVICE|notify|25|31|Smoke detectors that can notify my phone
189|SERVICE|leave|27|32|a subtle reminder should I leave a door unlocked or open
190|SERVICE|notify|11|17|my home to notify me when I need to take the dog out for walks
191|SERVICE|turn on and off|12|27|lights that turn on and off automatically
192|SERVICE|turn on|17|24|my smart home to turn on lights in the living room, foyer, and front porch when someone approaches the door
193|SERVICE|activated|22|31|a search engine voice activated with a display on a wall
194|SERVICE|wake up|25|32|my home to automatically wake up children at a predetermined time for school
196|SERVICE|turn on|27|34|lights that in front rooms turn on automatically
197|SERVICE|activate|28|36|sprinklers to automatically activate and water the lawn at the appropriate times
199|SERVICE|regulate|17|25|my smart home to regulate temperature loss  or brigthness through windows (like a photo cell that darkens the window when the sun shines right on it)
200|SERVICE|notify|11|17|my home to notify me of maintenance concerns, such as faulty meters or leaking pipes
201|SERVICE|turn on|12|19|speakers to turn on where im walking towards
203|SERVICE|shutter|17|24|my smart home to shutter the windows when winds get too brisk or high
204|SERVICE|turn off|17|25|my smart home to turn off the heat if anything is blocking the heater
206|SERVICE|notify|30|36|my refrigerator and pantry to notify me when certain ingredients are running low
207|SERVICE|detect|17|23|my smart home to detect noise levels and adjust music volume on stereo when it's in party mode
208|SERVICE|turn off|17|25|wall chargers to turn off after the phone is fully charged
209|SERVICE|talk|12|16|The oven to talk with basic information 
211|SERVICE|send|10|14|device to send the heat my computer produces to go out of my window
212|SERVICE|alert|17|22|my smart home to alert me to any odd environment fluctuations in my home that may signal fire, burst pipe, oven left on, burglary
213|SERVICE|alert|13|18|my shower to alert me of the current amount of hot water left
214|SERVICE|heat|15|19|Toilet seat to heat
218|SERVICE|alert|17|22|my smart home to alert me by text when my light bulbs are about to run out
220|SERVICE|open|30|34|The door to the dog's room to open and let them out, while also unlocking the front door when I pass a geofence and I'm on my way home from work.
221|SERVICE|tell|17|21|my smart home to tell where smoke or carbon monoxide is coming from when the alarm goes off
222|SERVICE|realize|11|18|Sensors to realize when I am tossing and turning in bed and turn the temperature in the room down automatically.
223|SERVICE|realize|11|18|Sensors to realize when there is smoke coming from the oven (and only from the area of the oven) and automatically turn the oven off while sending me an alert and giving me the option to alert the fire department as well.
224|SERVICE|detect|11|17|Sensors to detect when I've left a room and automatically turn off the lights. 
225|SERVICE|adjust|11|17|Sensors to adjust the lights based on my current activity. So if I sit down at the computer it will turn on the desk lamp, or if It sees me sitting on the couch with the TV on it will turn the lights to 50%, but if it sees me sitting on the couch with the TV off it knows I want to read, and will adjust lights accordingly. This could work for many rooms and activities. 
226|SERVICE|monitor|17|24|my smart home to monitor and remember local outdoor temperatures and calculate degree heating days (or degree cooling days)
229|SERVICE|remember|17|25|my smart home to remember optimal volume settings for TV and music throughout the house and use them unless over-ridden
230|SERVICE|alert|17|22|my smart home to alert me when ice has re-formed on sidewalks and driveway
231|SERVICE|controls|23|31|A command kitchen that controls appliances by voice
237|SERVICE|notify|11|17|my home to notify me when someone approaches the main door
238|SERVICE|notify|11|17|my home to notify me if carbon dioxide levels exceed a certain level
239|SERVICE|regulate|43|51|moisture sensors in my vegetable garden to regulate the drip irrigation
240|SERVICE|notify|11|17|my home to notify me when my favorite TV show has been recorded on the DVR
244|SERVICE|notify|11|17|my home to notify me if any outside window or door is accessed 
245|SERVICE|alert|67|72|monitor all our utility meters (e.g., gas, electricity, water) and alert me when we're above our typical usage
246|SERVICE|shift|25|30|my home to automatically shift my music from one room to the next as I traverse from room to room
247|SERVICE|notify|11|17|my home to notify me if there is any standing water below my crawl space
248|SERVICE|notify|12|18|my house to notify me if and when my children leave and enter the house 
249|SERVICE|notify|12|18|my house to notify me if there are any accidents and/or traffic delays on the local freeways
250|SERVICE|notify|11|17|my home to notify me before my smoke detector batteries starting beeping due to low power 
251|SERVICE|notify|12|18|my house to notify me if any of my pets get outside of the house
253|SERVICE|sense|22|27|my heated driveway to sense when there is snow on it
255|SERVICE|switches|48|56|a smart outdoor water system that automatically switches between cisterns/rain barrels, gray water system and utility supply depending on what is available
257|SERVICE|alert|12|17|a buzzer to alert me when my trash can is full
258|SERVICE|shut|13|17|the stove to shut itself off when my food is done being cooked
259|SERVICE|turn|14|18|the lights to turn themselves off if they sense a room is empty
260|SERVICE|alert|16|21|my treadmill to alert me when I haven't used it in too long
261|SERVICE|detect|17|23|my smart home to detect when someone's glucose level is dropping or becoming too high
262|SERVICE|monitor|3|10|to monitor when the baby is waking up from sleep
263|SERVICE|check|3|8|to check whether i have closed all the taps
264|SERVICE|notify|17|23|my smart home to notify me when it detects possible carbon dioxide
265|SERVICE|check|3|8|to check whether all the lights are off in day time
266|SERVICE|cut|17|20|my smart home to cut off electrical equipment/appliances when no one is in a particular room
267|SERVICE|raises|53|59|to on my a/c automatically when the room temperature raises above 30 degree celcius
268|SERVICE|close|14|19|shutters that close or open based on weather
269|SERVICE|know|3|7|to know any unusual moves like cats, dogs,other than humans
270|SERVICE|refill|31|37|my smart home to automatically refill the pet's water and food bowl through an automated system
271|SERVICE|turn|16|20|ceiling fans to turn on when house temperature begins to rise
272|SERVICE|prevent|17|24|my smart home to prevent children from accessing the oven and other dangerous appliances when an adult is not at home
273|SERVICE|acts|17|21|a door lock that acts as a camera and speaker
274|SERVICE|alert|3|8|to alert me when something usual happened like fire,smoke
275|SERVICE|react|17|22|my smart home to react to my voice and play whatever song I request
276|SERVICE|alert|3|8|to alert me when i need to service my fridge, washing machine
277|SERVICE|open|17|21|a door that will open for my dog
278|SERVICE|shut|16|20|ceiling fans to shut off when bird is in the room
279|SERVICE|shut|6|10|tv to shut off when I fall asleep
280|SERVICE|monitor|3|10|to monitor what the baby is doing all the time
281|SERVICE|find|3|7|to find whether unnecessary things are there in floor like needles, hocks,
282|SERVICE|signal|11|17|mailbox to signal me when something's in it
283|SERVICE|show|15|19|door camera to show image on my smartphone or tv when someone is outside
284|SERVICE|turn|9|13|water to turn off when I am brushing my teeth
285|SERVICE|lock|27|31|The front and back door to lock whenever my child under 8 years old tries to open it without entering a selected code
286|SERVICE|turn|35|39|the rooms lights and appliances to turn off or go into sleep/hibernation mode after 30 minutes of no movement in the room
287|SERVICE|emit|17|21|my dishwasher to emit a beeping sound or text my phone when it is full and when the dishes are cleaned
288|SERVICE|turn|17|21|My smart home to turn off appliances when they are not in use.
289|SERVICE|stove|13|18|the oven and stove to not turn on unless a certain sequence of buttons or a code is entered
290|SERVICE|notify|11|17|my home to notify me when I am using too much energy.
291|SERVICE|adjust|17|23|my smart home to adjust to the weather conditions outside, when I am inside/home
292|SERVICE|warm|29|33|the floors in my bathroom to warm up when I get in or out of the shower
293|SERVICE|open|17|21|my smart home to open the blinds in the morning
294|SERVICE|adjust|35|41|the temperature in the bathroom to adjust 
295|SERVICE|warn|17|21|my smart home to warn me if there is mold in the air, in my fridge or bathroom.
296|SERVICE|notify|17|23|my smart home to notify me when my carpet needs cleaning.
297|SERVICE|switch|17|23|my smart home to switch to a channel on TV and  text me when there is breaking news of great importance.
298|SERVICE|adjust|26|32|the windows in my home to adjust to the sunlight or lack of sunlight
299|SERVICE|warn|17|21|my smart home to warn me when there is potential damage to the floors, walls or carpet.
300|SERVICE|alert|22|27|the smoke detector to alert me to fires, smoke, carbon monoxide in a human voice that tells me where the danger is
301|SERVICE|broadcast|17|26|my smart home to broadcast video to my phone
302|SERVICE|alerts|18|24|a smart home that alerts me when my pet has left the premises by a tracker that is attached to his collar
303|SERVICE|alerts|18|24|a smart home that alerts my phone when a locked door or window has been opened
304|SERVICE|features|12|20|a home that features lights that can be remotely controlled via my smart phone
305|SERVICE|features|18|26|a smart home that features vacuum terminals built into the corner of certain corners of the house
306|SERVICE|features|16|24|smart home that features door locks that can be remotely locked and unlocked via a passcode on my phone
307|SERVICE|features|18|26|a smart home that features usage statistics that can calculate electric and water output according to room
308|SERVICE|tells|20|25|a refrigerator that tells me when my food is about to expire, and makes lists for the items I need
309|SERVICE|conditioning|14|26|a central air conditioning unit that automatically orders new air filters for itself when air quality diminishes
310|SERVICE|communicates|18|30|a smart door that communicates with my phone and unlocks itself automatically when I'm next to it, then locks itself once I'm inside
311|SERVICE|knows|19|24|a smart chair that knows who is sitting in it, then turns on the tv/entertainment system based on that individual's preferences, then turns if off or pauses media when I stand up
312|SERVICE|determine|31|40|smart plates for food that can determine what type of food I've placed on it, and aggregate nutritional information to be displayed on a smart table while I'm eating
313|SERVICE|knows|25|30|a smart alarm clock that knows my name and talks to me, convincing me to wake up, and reminding me of my appointments for the day that I'm going to be late for. Maybe it could talk with my smartphone about how lazy I'm being, and how we go through this every morning.
314|SERVICE|determine|23|32|a smart dryer that can determine when my clothes are dry, then turn itself off and send me a notification on my phone
315|SERVICE|needed|72|78|a smart washing machine that can order its own detergents/supplies when needed
316|SERVICE|tell|45|49|a smart closet, with smart hangers, that can tell me the last time I wore the clothing that's hanging from a specific rack
317|SERVICE|monitor|30|37|smart faucets on my sink that monitor the water for pollutants, and alert me if any new threats are found
318|SERVICE|tell|36|40|smart floors and furniture that can tell me if a small object is resting somewhere it shouldn't be (like if I couldn't find my keys)
319|SERVICE|know|3|7|to know when I am about to fall asleep
320|SERVICE|know|3|7|to know when my kids are leaving the house
321|SERVICE|clean|17|22|my smart home to clean my cats's litter box whenever its soiled
322|SERVICE|know|3|7|to know when my children are not feeling well
323|SERVICE|drives|22|28|an alert when someone drives up to my house.
324|SERVICE|know|3|7|to know when there is an intruder
325|SERVICE|need|16|20|when the plants need to be watered
326|SERVICE|adjust|17|23|my smart home to adjust the temperature depending on if someone is home or not
327|SERVICE|know|3|7|to know when I need to exercise
328|SERVICE|remind|17|23|my smart home to remind me of any activities my kids need to go to
329|SERVICE|built|0|5|built in clocks in the tv's in each room
330|SERVICE|Automated|0|9|Automated cleaners
331|SERVICE|tells|23|28|an energy feature that tells me when I have used a certain amount of electricity.
332|SERVICE|know|3|7|to know what my children are doing
334|SERVICE|turn off|3|11|to turn off the air conditioner when I am away from home
335|SERVICE|alert|17|22|my television to alert me when someone calls the home line
336|SERVICE|light|34|39|a sensor in the refrigerator that light up the container if food starts going bad
337|SERVICE|open|24|28|control who my children open the door for when the doorbell rings
338|SERVICE|help|17|21|My smart home to help me keep track of what my responsibilities are
339|SERVICE|alert|18|23|my baby's crib to alert me when my infant wakes up, via my iphone or apple watch
340|SERVICE|set|22|25|a washer that you can set a timer to start when you are ready
341|SERVICE|control|3|10|to control what electronic devices my children have access to when I am away from home
342|SERVICE|turn|17|21|my television to turn on and off with the sound of my voice
343|SERVICE|turn|21|25|something that would turn on music by the sound of my voice.
344|SERVICE|lock|14|18|my mailbox to lock when it senses the mailman has filled it with mail
345|SERVICE|alert|13|18|my iphone to alert me when my dog is distressed/barking via a smart collar
346|SERVICE|built|0|5|built in smoke detector and carbon monoxide detector with alarms
348|SERVICE|tell|13|17|sensors that tell me if someone or something leaves my house
349|SERVICE|left|17|21|monitor packages left on my front porch/doorstep
351|SERVICE|alert|12|17|my house to alert me by text if motion inside is detected while I'm gone
352|SERVICE|receive|3|10|to receive a text if the fridge is opened
353|SERVICE|alert|12|17|my phone to alert me if carbon monoxide levels are outside of the normal range
354|SERVICE|turn on|17|24|my television to turn on my favorite shows when I walk in the room
356|SERVICE|receive|3|10|to receive a preliminary text about the smoke detector before it actually goes off
357|SERVICE|alert|22|27|my laundry machine to alert me via phone notification when the cycle is complete
358|SERVICE|straightens up|14|28|a closet that straightens up the coats as we throw them in there
359|SERVICE|receive|3|10|to receive an alert if I've left the oven or stove on after I've finished cooking
360|SERVICE|alert|12|17|my dryer to alert me via phone notification when my dryer has completed
361|SERVICE|control|3|10|to control the temperature of my water heater
362|SERVICE|receive|3|10|to receive an alert if it's going to rain and I have a door or window open in my home
363|SERVICE|open|17|21|my smart home to open for my latchkey kid after school via voice command
364|SERVICE|adjust|26|32|the heat to automatically adjust when people enter or exit a room
365|SERVICE|alerts|18|24|a showerhead that alerts me when I use more than an amount predetermined by me
366|SERVICE|receive|3|10|to receive an alert if motion is detected on my driveway or front doorstep
367|SERVICE|limit|17|22|my smart home to limit my son's internet and video game usage
368|SERVICE|turn on|6|13|TV to turn on when i enter the room and to use voice commands to control it
370|SERVICE|lock|11|15|doors that lock automatically in the evening
371|SERVICE|darken|27|33|my smart home's windows to darken in response to the amount of outdoor light
373|SERVICE|activated|6|15|voice activated virtual assistant
374|SERVICE|ring|17|21|my smart home to ring a bell at meal times
376|SERVICE|know|11|15|my gate to know who's entering
377|SERVICE|locks|10|15|a TV that locks itself after it's kids bed time
378|SERVICE|rings|12|17|an app that rings when my vitamins are due
380|SERVICE|sense|16|21|an app that can sense my mood
381|SERVICE|absorb|11|17|tiles that absorb the water in washrooms after shower
382|SERVICE|sense|15|20|tiles that can sense water
383|SERVICE|tracks|20|26|a refrigerator that tracks how long milk has been inside
384|SERVICE|starts|12|18|lights that starts fading out and then finally turn off if I fall asleep
385|SERVICE|senses|14|20|a toilet that senses how much to flush and automatically does that
386|SERVICE|sense|17|22|carpets that can sense when my kid is about to fall
387|SERVICE|sanitized|10|19|automatic sanitized door knobs and faucets
388|SERVICE|turn|14|18|the lights to turn on when i enter and off when i leave a room
389|SERVICE|identify|17|25|my smart home to identify party guests at the door before I open it
390|SERVICE|block off|17|26|my smart home to block off areas of my house from pet access at specific times of the day
392|SERVICE|verify|17|23|my smart home to verify the identify of my pets before letting them in
393|SERVICE|track|17|22|my smart home to track what items I am removing from the pantry and fridge
394|SERVICE|track|15|20|the ability to track humidity levels in each room of my house
395|SERVICE|monitor|17|24|my smart home to monitor my utility usage and costs.
396|SERVICE|notify|17|23|my smart home to notify me immediately if I leave the house without turning off the oven or leave food in too long.
398|SERVICE|notify|17|23|my smart home to notify me when food and water levels in my pets dishes are low.
399|SERVICE|track|17|22|my smart home to track my energy usage by the specific environmental impact my different utilities have.
400|SERVICE|track|17|22|my smart home to track different allergens in the air including part hair and dust particles.
401|SERVICE|track|17|22|my smart home to track when different baby gates have been opened.
402|SERVICE|track|17|22|my smart home to track how much in utilities each occupant uses.
405|SERVICE|detect|17|23|my thermostat to detect my body temperature and location in the room
406|SERVICE|detect|10|16|my bed to detect my sleep patterns
407|SERVICE|glows|17|22|an orb lamp that glows the daily ups and downs of my portfolio
408|SERVICE|notify|17|23|my smart home to notify me via my smart phone and shows me his picture when he opens the front door
409|SERVICE|determine|9|18|my tv to determine my mood based on my emails, text, social media postings and phone calls, and day of the month and other factors
410|SERVICE|detect|19|25|my entire house to detect subtle hints of psychological abnormalities, whether depression or unknown genetic defects, that get express through small but still perceptible physical irregular movements
411|SERVICE|send|16|20|a smart home to send me a text via my smart phone when it is time to change ac and heater's filters
412|SERVICE|archive|12|19|my house to archive where everything is located
413|SERVICE|start|20|25|my bread machine to start automatically and be ready in the morning
414|SERVICE|set|17|20|my thermostat to set itself to my ideal temperature when it detects my present
415|SERVICE|start|29|34|my robotic vacuum cleaner to start automatically twice a week
416|SERVICE|detect|14|20|my windows to detect sound waves
419|SERVICE|turn on|21|28|my lights and tvs to turn on automatically when I am not home, and it detects an intruder
420|SERVICE|fill|28|32|my bathtub to automatically fill, and set itself to hot temperature and add a bubble bath solution at the push of a button.
421|SERVICE|activated|8|17|a voice activated warning when the energy cost is more than certain amount
422|SERVICE|cut|37|40|A lawn mower device to automatically cut my grass when it detects it is above a certain height, similar to a roomba vacuum robot.
424|SERVICE|inform|17|23|my smart home to inform me when my favorite ice cream is almost gone
